id,conversation_id,event_type,payload,confidence,created_at,workflow_step,event_status
21,session-1765704807460,intent_resolved,"{""reply"":""Nie mogę pobrać danych z bazy. Sprawdź połączenie z serwerem."",""intent"":""menu_request"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 00:15:35.175+00,,
22,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano 'searchMenu' ponieważ użytkownik wskazuje na restaurację 'Bar Praga 1', co sugeruje, że chce zobaczyć menu tej restauracji."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false}},""reply"":""Przepraszam, nie mogę pobrać aktualnego menu z baru Praha. Sprawdź połączenie z serwerem lub spróbuj później."",""intent"":""menu_request"",""timings"":{""dbMs"":6645,""nluMs"":2739,""ttsMs"":0,""totalMs"":9465},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:15:35.175+00,,
23,session-1765704807460,request_received,"{""text"":""numer 1""}",,2025-12-18 00:15:41.691+00,,
24,session-1765704807460,intent_resolved,"{""reply"":""Nie mogę pobrać danych z bazy. Sprawdź połączenie z serwerem."",""intent"":""menu_request"",""source"":""classic"",""confidence"":0.9}",,2025-12-18 00:15:48.327+00,,
25,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano searchMenu ponieważ użytkownik podał numer 1, co prawdopodobnie odnosi się do menu restauracji 'Stara Kamienica', której menu chcemy teraz znaleźć."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false}},""reply"":""Niestety, nie mogę pobrać menu z Restauracji Stara Kamienica w tej chwili. Proszę sprawdzić połączenie z serwerem. Jeśli potrzebujesz pomocy z czymś innym, daj znać!"",""intent"":""menu_request"",""timings"":{""dbMs"":6287,""nluMs"":666,""ttsMs"":0,""totalMs"":7044},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:15:48.326+00,,
26,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:15:48.327Z""}",,2025-12-18 00:15:48.327+00,,
27,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w pobliżu""}",,2025-12-18 00:23:54.912+00,,
28,session-1765704807460,intent_resolved,"{""reply"":"""",""intent"":""find_nearby"",""source"":""classic"",""confidence"":1}",,2025-12-18 00:23:59.854+00,,
29,session-1765704807460,request_received,"{""text"":""Wybieram numer 1""}",,2025-12-18 00:24:18.735+00,,
30,session-1765704807460,request_received,"{""text"":""gdzie zjem w pobliżu""}",,2025-12-18 00:24:32.71+00,,
31,session-1765704807460,intent_resolved,"{""reply"":"""",""intent"":""find_nearby"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 00:24:38.064+00,,
32,session-1765704807460,request_received,"{""text"":""w pobliżu mam""}",,2025-12-18 00:24:41.122+00,,
33,session-1765704807460,intent_resolved,"{""reply"":"""",""intent"":""find_nearby"",""source"":""classic"",""confidence"":0.9}",,2025-12-18 00:24:45.238+00,,
34,session-1765704807460,request_received,"{""text"":""wybieram Plac Burger""}",,2025-12-18 00:24:56.136+00,,
35,session-1765704807460,intent_resolved,"{""reply"":""Nie mogę pobrać danych z bazy. Sprawdź połączenie z serwerem."",""intent"":""menu_request"",""source"":""classic"",""confidence"":1}",,2025-12-18 00:25:02.811+00,,
36,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano searchMenu ponieważ użytkownik wskazał konkretna restaurację Plac Burger, co sugeruje chęć przeglądania jej menu."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false}},""reply"":""Niestety, nie mogę pobrać danych z menu Plac Burger. Proszę sprawdzić połączenie z serwerem."",""intent"":""menu_request"",""timings"":{""dbMs"":6389,""nluMs"":750,""ttsMs"":0,""totalMs"":7041},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:25:02.811+00,,
37,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:25:02.916Z""}",,2025-12-18 00:25:02.916+00,,
38,session-1765704807460,request_received,"{""text"":""klaps Burger""}",,2025-12-18 00:25:45.701+00,,
39,session-1765704807460,intent_resolved,"{""reply"":""Nie mogę pobrać danych z bazy. Sprawdź połączenie z serwerem."",""intent"":""menu_request"",""source"":""llm"",""confidence"":0.8}",,2025-12-18 00:25:54.618+00,,
40,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano searchMenu ponieważ użytkownik wyraził zamiar zamówienia burgera z restauracji Klaps Burgers, a system już zidentyfikował tę restaurację w poprzednich krokach."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false}},""reply"":""Niestety, nie mogę pobrać menu z restauracji Klaps Burgers. Sprawdź proszę połączenie z serwerem. Jeśli potrzebujesz pomocy w czymś innym, daj mi znać!"",""intent"":""menu_request"",""timings"":{""dbMs"":7148,""nluMs"":2125,""ttsMs"":0,""totalMs"":9251},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:25:54.617+00,,
41,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:25:54.842Z""}",,2025-12-18 00:25:54.843+00,,
42,session-1765704807460,request_received,"{""text"":""Pokaż menu klaps Burger""}",,2025-12-18 00:26:39.578+00,,
43,session-1765704807460,intent_resolved,"{""reply"":""W Klaps Burgers dostępne m.in.: Desperado Double (46.00 zł), Desperado Standard (36.00 zł), Głodzilla (59.00 zł), Grzybiarz z Piekaryhill (40.00 zł), Halloween Double (49.00 zł), Halloween Standard (39.00 zł). Co chciałbyś zamówić?"",""intent"":""menu_request"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 00:26:45.929+00,,
44,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""User provided a specific restaurant name → selecting restaurant."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false},""restaurant_id"":""569a7d29-57be-4224-bdf3-09c483415cea""},""reply"":""W Klaps Burgers dostępne m.in.: \n\n- Desperado Double – 46 zł\n- Desperado Standard – 36 zł\n- Głodzilla – 59 zł\n- Grzybiarz z Piekaryhill – 40 zł\n- Halloween Double – 49 zł\n- Halloween Standard – 39 zł\n\nCo chciałbyś zamówić?"",""intent"":""menu_request"",""timings"":{""dbMs"":4178,""nluMs"":2343,""ttsMs"":0,""totalMs"":6805},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:26:45.929+00,,
45,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:26:46.100Z""}",,2025-12-18 00:26:46.101+00,,
46,session-1765704807460,request_received,"{""text"":""Pokaż menu klaps Burger""}",,2025-12-18 00:39:41.682+00,,
47,session-1765704807460,intent_resolved,"{""reply"":""W Klaps Burgers dostępne m.in.: Desperado Double (46.00 zł), Desperado Standard (36.00 zł), Głodzilla (59.00 zł), Grzybiarz z Piekaryhill (40.00 zł), Halloween Double (49.00 zł), Halloween Standard (39.00 zł). Co chciałbyś zamówić?"",""intent"":""menu_request"",""source"":""classic"",""confidence"":1}",,2025-12-18 00:39:47.814+00,,
48,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""User provided a specific restaurant name → selecting restaurant."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false},""restaurant_id"":""569a7d29-57be-4224-bdf3-09c483415cea""},""reply"":""W Klaps Burgers dostępne m.in.: \n\n- Desperado Double - 46 zł\n- Desperado Standard - 36 zł\n- Głodzilla - 59 zł\n- Grzybiarz z Piekaryhill - 40 zł\n- Halloween Double - 49 zł\n- Halloween Standard - 39 zł\n\nCo chciałbyś zamówić?"",""intent"":""menu_request"",""timings"":{""dbMs"":5614,""nluMs"":690,""ttsMs"":0,""totalMs"":7114},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:39:47.814+00,,
49,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:39:47.984Z""}",,2025-12-18 00:39:47.984+00,,
50,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w pobliżu""}",,2025-12-18 00:40:25.312+00,,
51,session-1765704807460,intent_resolved,"{""reply"":"""",""intent"":""find_nearby"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 00:40:31.13+00,,
52,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w Piekarach Śląskich""}",,2025-12-18 00:41:01.734+00,,
53,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w pobliżu""}",,2025-12-18 00:41:17.879+00,,
54,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w Piekarach Śląskich""}",,2025-12-18 00:41:31.689+00,,
55,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w pobliżu""}",,2025-12-18 00:42:08.457+00,,
56,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w pobliżu""}",,2025-12-18 00:48:35.305+00,,
57,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w Piekarach Śląskich""}",,2025-12-18 00:52:16.254+00,,
58,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w pobliżu""}",,2025-12-18 00:52:39.037+00,,
59,session-1765704807460,intent_resolved,"{""reply"":""Mam 3 miejsca w Piekary Śląskie:\n1. Restauracja Stara Kamienica - Polska\n2. Rezydencja Luxury Hotel - Międzynarodowa\n3. Klaps Burgers - Amerykańska\n\nKtóre Cię interesuje?"",""intent"":""find_nearby"",""source"":""classic"",""confidence"":1}",,2025-12-18 00:52:42.712+00,,
60,session-1765704807460,request_received,"{""text"":""Pokaż menu restauracja Stara Kamienica""}",,2025-12-18 00:53:05.227+00,,
61,session-1765704807460,intent_resolved,"{""reply"":""W Restauracja Stara Kamienica dostępne m.in.: Filet z kurczaka po hawajsku (19.00 zł), Filet z kurczaka tradycyjny (panierowany) (15.00 zł), Fondant czekoladowy z lodami i bitą śmietaną (22.00 zł), Grillowany filet z kurczaka (15.00 zł), Gulasz wieprzowy po węgiersku (23.00 zł), Jajecznica z 2 szt. jaj (11.00 zł). Co chciałbyś zamówić?"",""intent"":""menu_request"",""source"":""classic"",""confidence"":1}",,2025-12-18 00:53:11.969+00,,
62,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""User provided a specific restaurant name → selecting restaurant."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false},""restaurant_id"":""1fc1e782-bac6-47b2-978a-f6f2b38000cd""},""reply"":""W Restauracji Stara Kamienica dostępne są m.in.: \n\n- Filet z kurczaka po hawajsku - 19 zł\n- Filet z kurczaka tradycyjny (panierowany) - 15 zł\n- Fondant czekoladowy z lodami i bitą śmietaną - 22 zł\n- Grillowany filet z kurczaka - 15 zł\n- Gulasz wieprzowy po węgiersku - 23 zł\n- Jajecznica z 2 szt. jaj - 11 zł\n\nCo chciałbyś zamówić?"",""intent"":""menu_request"",""timings"":{""dbMs"":6419,""nluMs"":491,""ttsMs"":0,""totalMs"":7095},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:53:11.969+00,,
63,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:53:12.392Z""}",,2025-12-18 00:53:12.393+00,,
64,session-1765704807460,request_received,"{""text"":""Restauracja Stara Kamienica""}",,2025-12-18 00:53:31.878+00,,
65,session-1765704807460,intent_resolved,"{""reply"":""W Restauracja Stara Kamienica dostępne m.in.: Filet z kurczaka po hawajsku (19.00 zł), Filet z kurczaka tradycyjny (panierowany) (15.00 zł), Fondant czekoladowy z lodami i bitą śmietaną (22.00 zł), Grillowany filet z kurczaka (15.00 zł), Gulasz wieprzowy po węgiersku (23.00 zł), Jajecznica z 2 szt. jaj (11.00 zł). Co chciałbyś zamówić?"",""intent"":""menu_request"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 00:53:41.712+00,,
66,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano searchMenu ponieważ użytkownik wspomniał o restauracji Stara Kamienica, a ostatnia akcja dotyczyła prośby o menu tej restauracji."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false},""restaurant_id"":""1fc1e782-bac6-47b2-978a-f6f2b38000cd""},""reply"":""W Restauracji Stara Kamienica dostępne m.in.: Filet z kurczaka po hawajsku za 19 zł, Filet z kurczaka tradycyjny za 15 zł, Fondant czekoladowy z lodami za 22 zł, Grillowany filet z kurczaka za 15 zł, Gulasz wieprzowy po węgiersku za 23 zł oraz Jajecznica za 11 zł. Co chciałbyś zamówić?"",""intent"":""menu_request"",""timings"":{""dbMs"":7907,""nluMs"":2255,""ttsMs"":0,""totalMs"":10193},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:53:41.711+00,,
67,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:53:41.875Z""}",,2025-12-18 00:53:41.875+00,,
68,session-1765704807460,request_received,"{""text"":""Pokaż menu klaps Burger""}",,2025-12-18 00:58:12.333+00,,
69,session-1765704807460,intent_resolved,"{""reply"":""W Klaps Burgers dostępne m.in.: Desperado Double (46.00 zł), Desperado Standard (36.00 zł), Głodzilla (59.00 zł), Grzybiarz z Piekaryhill (40.00 zł), Halloween Double (49.00 zł), Halloween Standard (39.00 zł). Co chciałbyś zamówić?"",""intent"":""menu_request"",""source"":""classic"",""confidence"":1}",,2025-12-18 00:58:17.65+00,,
70,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""User provided a specific restaurant name → selecting restaurant."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false},""restaurant_id"":""569a7d29-57be-4224-bdf3-09c483415cea""},""reply"":""W Klaps Burgers dostępne m.in.: \n\n- Desperado Double za 46 zł\n- Desperado Standard za 36 zł\n- Głodzilla za 59 zł\n- Grzybiarz z Piekaryhill za 40 zł\n- Halloween Double za 49 zł\n- Halloween Standard za 39 zł\n\nCo chciałbyś zamówić?"",""intent"":""menu_request"",""timings"":{""dbMs"":4715,""nluMs"":740,""ttsMs"":0,""totalMs"":5954},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:58:17.649+00,,
71,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:58:17.790Z""}",,2025-12-18 00:58:17.791+00,,
72,session-1765704807460,request_received,"{""text"":""wybieram Desperado Double""}",,2025-12-18 00:58:44.898+00,,
73,session-1765704807460,intent_resolved,"{""reply"":""Nic do potwierdzenia."",""intent"":""confirm_order"",""source"":""classic"",""confidence"":0.85}",,2025-12-18 00:58:50.623+00,,
74,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano completeOrder ponieważ użytkownik wybrał konkretne danie 'Desperado Double', co wskazuje na chęć sfinalizowania zamówienia."",""searchMenu"":false,""completeOrder"":true,""askClarification"":false,""searchRestaurants"":false},""restaurant_id"":""569a7d29-57be-4224-bdf3-09c483415cea""},""reply"":""Wybrałeś Desperado Double z restauracji Klaps Burgers. Potwierdzam zamówienie. Smacznego!"",""intent"":""confirm_order"",""timings"":{""dbMs"":5210,""nluMs"":513,""ttsMs"":0,""totalMs"":6080},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:58:50.623+00,,
75,session-1765704807460,response_sent,"{""intent"":""confirm_order"",""timestamp"":""2025-12-18T00:58:50.973Z""}",,2025-12-18 00:58:50.974+00,,
76,session-1765704807460,request_received,"{""text"":""Desperado Double dodać do koszyka""}",,2025-12-18 00:59:23.185+00,,
77,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano complete_order, ponieważ użytkownik podał konkretne danie ('Desperado Double') do dodania do koszyka związane z restauracją, a wcześniejsza akcja to potwierdzenie zamówienia. Czas na finalizację zamówienia."",""searchMenu"":false,""completeOrder"":true,""askClarification"":false,""searchRestaurants"":false},""restaurant_id"":""569a7d29-57be-4224-bdf3-09c483415cea""},""reply"":""Potwierdzam dodanie Desperado Double do koszyka. Przechodzę do finalizacji zamówienia."",""intent"":""confirm_order"",""timings"":{""dbMs"":5513,""nluMs"":507,""ttsMs"":0,""totalMs"":6394},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:59:29.207+00,,
78,session-1765704807460,intent_resolved,"{""reply"":""Nic do potwierdzenia."",""intent"":""confirm_order"",""source"":""classic"",""confidence"":0.85}",,2025-12-18 00:59:29.207+00,,
79,session-1765704807460,response_sent,"{""intent"":""confirm_order"",""timestamp"":""2025-12-18T00:59:29.621Z""}",,2025-12-18 00:59:29.622+00,,
80,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w pobliżu""}",,2025-12-18 00:59:49.797+00,,
81,session-1765704807460,intent_resolved,"{""reply"":"""",""intent"":""find_nearby"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 00:59:57.998+00,,
82,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w Piekary Śląskie""}",,2025-12-18 01:00:06.349+00,,
83,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w Piekary Śląskie""}",,2025-12-18 01:00:18.64+00,,
84,session-1765704807460,request_received,"{""text"":""Poleć miejsca w pobliżu""}",,2025-12-18 01:00:52.745+00,,
85,session-1765704807460,intent_resolved,"{""reply"":""Znalazłam 9. Oto top 3 propozycje w Piekary Śląskie:\n1. Restauracja Stara Kamienica (Polska)\n2. Rezydencja Luxury Hotel (Międzynarodowa)\n3. Klaps Burgers (Amerykańska)\n\nKtórą wybierasz?"",""intent"":""show_city_results"",""source"":""classic"",""confidence"":0.9}",,2025-12-18 01:00:57.387+00,,
86,session-1765704807460,request_received,"{""text"":""co polecisz w pobliżu""}",,2025-12-18 01:01:11.882+00,,
87,session-1765704807460,intent_resolved,"{""reply"":""Mam 3 miejsca w Piekary Śląskie:\n1. Restauracja Stara Kamienica - Polska\n2. Rezydencja Luxury Hotel - Międzynarodowa\n3. Klaps Burgers - Amerykańska\n\nKtóre Cię interesuje?"",""intent"":""find_nearby"",""source"":""classic"",""confidence"":0.9}",,2025-12-18 01:01:16.902+00,,
88,session-1765704807460,request_received,"{""text"":""co polecisz w pobliżu""}",,2025-12-18 01:07:20.089+00,,
89,session-1765704807460,intent_resolved,"{""reply"":""Mam 3 miejsca w Piekary Śląskie:\n1. Restauracja Stara Kamienica - Polska\n2. Rezydencja Luxury Hotel - Międzynarodowa\n3. Klaps Burgers - Amerykańska\n\nKtóre Cię interesuje?"",""intent"":""find_nearby"",""source"":""classic"",""confidence"":0.9}",,2025-12-18 01:07:25.504+00,,
90,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w Piekary Śląskie""}",,2025-12-18 01:12:14.999+00,,
91,session-1765704807460,request_received,"{""text"":""Pokaż miejsca w pobliżu""}",,2025-12-18 01:12:20.758+00,,
92,session-1765704807460,intent_resolved,"{""reply"":""Znalazłam 9. Oto top 3 propozycje w Piekary Śląskie:\n1. Restauracja Stara Kamienica (Polska)\n2. Rezydencja Luxury Hotel (Międzynarodowa)\n3. Klaps Burgers (Amerykańska)\n\nKtórą wybierasz?"",""intent"":""show_city_results"",""source"":""classic"",""confidence"":0.9}",,2025-12-18 01:12:25.58+00,,
93,session-1765704807460,request_received,"{""text"":""Restauracja Stara Kamienica""}",,2025-12-18 01:17:47.671+00,,
94,session-1765704807460,intent_resolved,"{""reply"":""W Restauracja Stara Kamienica dostępne m.in.: Filet z kurczaka po hawajsku (19.00 zł), Filet z kurczaka tradycyjny (panierowany) (15.00 zł), Fondant czekoladowy z lodami i bitą śmietaną (22.00 zł), Grillowany filet z kurczaka (15.00 zł), Gulasz wieprzowy po węgiersku (23.00 zł), Jajecznica z 2 szt. jaj (11.00 zł). Co chciałbyś zamówić?"",""intent"":""menu_request"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 01:17:57.163+00,,
95,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano searchMenu ponieważ użytkownik wskazał restaurację 'Restauracja Stara Kamienica' i system ma dostęp do listy menu tej restauracji."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false},""restaurant_id"":""1fc1e782-bac6-47b2-978a-f6f2b38000cd""},""reply"":""W Restauracji Stara Kamienica dostępne są m.in.: \n\n- Filet z kurczaka po hawajsku - 19 zł\n- Filet z kurczaka tradycyjny (panierowany) - 15 zł\n- Fondant czekoladowy z lodami i bitą śmietaną - 22 zł\n- Grillowany filet z kurczaka - 15 zł\n- Gulasz wieprzowy po węgiersku - 23 zł\n- Jajecznica z 2 szt. jaj - 11 zł\n\nCo chciałbyś zamówić?"",""intent"":""menu_request"",""timings"":{""dbMs"":7437,""nluMs"":2326,""ttsMs"":0,""totalMs"":10047},""fallback"":false,""confidence"":0.9}",,2025-12-18 01:17:57.163+00,,
96,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T01:17:57.314Z""}",,2025-12-18 01:17:57.314+00,,
97,session-1765704807460,request_received,"{""text"":""pokaż menu klaps burger""}",,2025-12-18 01:19:26.059+00,,
98,session-1765704807460,intent_resolved,"{""reply"":""W Klaps Burgers dostępne m.in.: Desperado Double (46.00 zł), Desperado Standard (36.00 zł), Głodzilla (59.00 zł), Grzybiarz z Piekaryhill (40.00 zł), Halloween Double (49.00 zł), Halloween Standard (39.00 zł). Co chciałbyś zamówić?"",""intent"":""menu_request"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 01:19:33.43+00,,
99,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""User provided a specific restaurant name → selecting restaurant."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false},""restaurant_id"":""569a7d29-57be-4224-bdf3-09c483415cea""},""reply"":""W Klaps Burgers dostępne m.in.: \n\n- Desperado Double – 46 zł \n- Desperado Standard – 36 zł \n- Głodzilla – 59 zł \n- Grzybiarz z Piekaryhill – 40 zł \n- Halloween Double – 49 zł \n- Halloween Standard – 39 zł\n\nCo chciałbyś zamówić?"",""intent"":""menu_request"",""timings"":{""dbMs"":4812,""nluMs"":2788,""ttsMs"":0,""totalMs"":7871},""fallback"":false,""confidence"":0.9}",,2025-12-18 01:19:33.429+00,,
100,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T01:19:33.603Z""}",,2025-12-18 01:19:33.604+00,,
101,session-1765704807460,request_received,"{""text"":""Pokaż menu klaps Burger""}",,2025-12-18 01:24:36.03+00,,
102,session-1765704807460,intent_resolved,"{""reply"":""W Klaps Burgers dostępne m.in.: Desperado Double (46.00 zł), Desperado Standard (36.00 zł), Głodzilla (59.00 zł), Grzybiarz z Piekaryhill (40.00 zł), Halloween Double (49.00 zł), Halloween Standard (39.00 zł). Co chciałbyś zamówić?"",""intent"":""menu_request"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 01:24:44.237+00,,
